Route_name,Stop_name,Stop_name
L Owl,The Embarcadero & Green St,The Embarcadero & Broadway
L Owl,The Embarcadero & Greenwich St,The Embarcadero & Green St
L Owl,The Embarcadero & Sansome St,The Embarcadero & Greenwich St
L Owl,The Embarcadero & Bay St,The Embarcadero & Sansome St
L Owl,The Embarcadero & Stockton St,The Embarcadero & Bay St
L Owl,Jefferson St & Powell St,The Embarcadero & Stockton St
L Owl,Jefferson St & Taylor St,Jefferson St & Powell St
L Owl,Beach St & Mason St,Jones St & Beach St
L Owl,Beach St & Stockton St,Beach St & Mason St
L Owl,The Embarcadero & Bay St,Beach St & Stockton St
L Owl,The Embarcadero & Sansome St,The Embarcadero & Bay St
L Owl,The Embarcadero & Greenwich St,The Embarcadero & Sansome St
L Owl,The Embarcadero & Green St,The Embarcadero & Greenwich St
L Owl,The Embarcadero & Broadway,The Embarcadero & Green St
L Owl,The Embarcadero & Washington St,The Embarcadero & Broadway
L Owl,The Embarcadero & Ferry Building,The Embarcadero & Washington St
L Owl,Don Chee Way/Steuart St,The Embarcadero & Ferry Building
L Owl,Steuart St & Market St,Don Chee Way/Steuart St
L Owl,Market St & Drumm St,Steuart St & Market St
L Owl,Market St & Battery St,Market St & Drumm St
L Owl,Market St & 2nd St,Market St & Battery St
L Owl,Market St & Kearny St,Market St & 2nd St
L Owl,Market St & Stockton St,Market St & Kearny St
L Owl,Market St & 5th  St,Market St & Stockton St
L Owl,Market St & Taylor St,Market St & 5th  St
L Owl,Market St & 7th St,Market St & Taylor St
L Owl,Market St & Hyde St,Market St & 7th St
L Owl,Market St & Larkin St,Market St & Hyde St
L Owl,Market St & Van Ness Ave,Market St & Larkin St
L Owl,Market St & Gough St,Market St & Van Ness Ave
L Owl,Market St & Laguna St,Market St & Gough St
L Owl,Market St & Buchanan St,Market St & Laguna St
L Owl,Market St & Church St,Market St & Buchanan St
L Owl,Market St & Sanchez St,Market St & Church St
L Owl,Market St & 16th St,Market St & Sanchez St
L Owl,Market St & Castro St,Market St & 16th St
L Owl,6 Portola Dr,Market St & 17th St
L Owl,120 Portola Dr,6 Portola Dr
L Owl,Portola Dr & Burnett Ave,120 Portola Dr
L Owl,Portola Dr & Glenview Dr,Portola Dr & Burnett Ave
L Owl,Woodside Ave & Portola Dr,Portola Dr & Glenview Dr
L Owl,Woodside Ave & Ulloa St,Woodside Ave & Portola Dr
L Owl,Woodside Ave & Hernandez Ave,Woodside Ave & Ulloa St
L Owl,Ulloa St & Lenox Way,Woodside Ave & Hernandez Ave
L Owl,Ulloa St & Forest Side Ave,Ulloa St & Lenox Way
L Owl,15th Ave & Taraval St,Ulloa St & Forest Side Ave
L Owl,Taraval St & 19th Ave,15th Ave & Taraval St
L Owl,Taraval St & 23rd Ave,Taraval St & 19th Ave
L Owl,Taraval St & 26th Ave,Taraval St & 23rd Ave
L Owl,Taraval St & 30th Ave,Taraval St & 26th Ave
L Owl,Taraval St & 32nd Ave,Taraval St & 30th Ave
L Owl,Taraval St & Sunset Blvd,Taraval St & 32nd Ave
L Owl,Taraval St & 40th Ave,Taraval St & Sunset Blvd
L Owl,Taraval St & 42nd Ave,Taraval St & 40th Ave
L Owl,Taraval St & 44th Ave,Taraval St & 42nd Ave
L Owl,Taraval St & 46th Ave,Taraval St & 44th Ave
L Owl,46th Ave & Ulloa St,Taraval St & 46th Ave
L Owl,46th Ave & Vicente St,46th Ave & Ulloa St
L Owl,Vicente St & 47th Ave,46th Ave & Vicente St
L Owl,Wawona/46th Ave /SF Zoo,Vicente St & 47th Ave
L Taraval Bus,46th Ave & Vicente St,Wawona/46th Ave /SF Zoo
L Taraval Bus,46th Ave & Ulloa St,46th Ave & Vicente St
L Taraval Bus,46th Ave & Taraval St,46th Ave & Ulloa St
L Taraval Bus,Taraval St & 44th Ave,46th Ave & Taraval St
L Taraval Bus,Taraval St & 42nd Ave,Taraval St & 44th Ave
L Taraval Bus,Taraval St & 40th Ave,Taraval St & 42nd Ave
L Taraval Bus,Taraval St & Sunset Blvd,Taraval St & 40th Ave
L Taraval Bus,Taraval St & 32nd Ave,Taraval St & Sunset Blvd
