to,from,CoordsFromLat,CoordsFromLong,CoordsToLat,CoordsToLong
Ocean Ave & Miramar Ave,Ocean Ave & Dorado Ter,37.72439957,-122.45800018,37.72499847,-122.46099854
Ocean Ave & Dorado Ter,Ocean Ave & Fairfield Way,37.72499847,-122.46099854,37.72600174,-122.46399689
Ocean Ave & Fairfield Way,Ocean Ave & Westgate Dr,37.72600174,-122.46399689,37.72719955,-122.46600342
Ocean Ave & Westgate Dr,Ocean Ave & Aptos Ave,37.72719955,-122.46600342,37.72829819,-122.46800232
Ocean Ave & Aptos Ave,Ocean Ave & San Leandro Way,37.72829819,-122.46800232,37.72999954,-122.46900177
Ocean Ave & San Leandro Way,Junipero Serra Blvd & Ocean Ave,37.72999954,-122.46900177,37.73139954,-122.47200012
Junipero Serra Blvd & Ocean Ave,West Portal Ave & Sloat Blvd,37.73139954,-122.47200012,37.73500061,-122.47100067
West Portal Ave & Sloat Blvd,West Portal Ave & 14th Ave,37.73500061,-122.47100067,37.73789978,-122.46900177
West Portal Ave & 14th Ave,West Portal Station,37.73789978,-122.46900177,37.74100113,-122.46600342
West Portal Station,Metro Forest Hill Station,37.74100113,-122.46600342,37.74819946,-122.45899963
Metro Forest Hill Station,Metro Castro Station,37.74819946,-122.45899963,37.76269913,-122.43499756
Metro Castro Station,Metro Church Station,37.76269913,-122.43499756,37.76729965,-122.42900085
Metro Church Station,Metro Van Ness Station,37.76729965,-122.42900085,37.77510071,-122.41899872
Metro Van Ness Station,Metro Church Station,37.77510071,-122.41899872,37.76729965,-122.42900085
Metro Church Station,Metro Castro Station,37.76729965,-122.42900085,37.76269913,-122.43499756
Metro Castro Station,Metro Forest Hill Station,37.76269913,-122.43499756,37.74819946,-122.45899963
Metro Forest Hill Station,West Portal Station,37.74819946,-122.45899963,37.74100113,-122.46600342
West Portal Station,West Portal Ave & Ulloa St,37.74100113,-122.46600342,37.74089813,-122.46600342
West Portal Ave & Ulloa St,West Portal Ave & 14th Ave,37.74089813,-122.46600342,37.73789978,-122.46900177
West Portal Ave & 14th Ave,West Portal Ave & Sloat Blvd,37.73789978,-122.46900177,37.73500061,-122.47100067
West Portal Ave & Sloat Blvd,Junipero Serra Blvd & Ocean Ave,37.73500061,-122.47100067,37.73139954,-122.47200012
Junipero Serra Blvd & Ocean Ave,Ocean Ave & San Leandro Way,37.73139954,-122.47200012,37.72999954,-122.46900177
Ocean Ave & San Leandro Way,Ocean Ave & Aptos Ave,37.72999954,-122.46900177,37.72829819,-122.46800232
Ocean Ave & Aptos Ave,Ocean Ave & Cerritos Ave,37.72829819,-122.46800232,37.72729874,-122.46700287
Ocean Ave & Cerritos Ave,Ocean Ave & Victoria St,37.72729874,-122.46700287,37.72600174,-122.46399689
Ocean Ave & Victoria St,Ocean Ave & Jules Ave,37.72600174,-122.46399689,37.72499847,-122.46099854
Ocean Ave & Jules Ave,Ocean Ave & Miramar Ave,37.72499847,-122.46099854,37.72439957,-122.45800018
Ocean Ave & Miramar Ave,Ocean Ave & Lee St,37.72439957,-122.45800018,37.72349930,-122.45400238
Ocean Ave & Lee St,Ocean Ave/CCSF Pedestrian Bridge,37.72349930,-122.45400238,37.72299957,-122.45099640
Ocean Ave/CCSF Pedestrian Bridge,Balboa Park BART Mezzanine Level,37.72299957,-122.45099640,37.72180176,-122.44699860
San Jose Ave & Geneva Ave,Ocean Ave & Geneva Ave,37.72119904,-122.44599915,37.72309875,-122.45200348
Ocean Ave & Geneva Ave,Ocean Ave & Lee St,37.72309875,-122.45200348,37.72349930,-122.45400238
West Portal Ave & 14th Ave,West Portal Ave & Ulloa St,37.73789978,-122.46900177,37.74089813,-122.46600342
West Portal Ave & Ulloa St,Portola Dr & O Shaughnessy Blvd,37.74089813,-122.46600342,37.74530029,-122.45200348
Portola Dr & O Shaughnessy Blvd,Portola Dr & Clipper St,37.74530029,-122.45200348,37.74720001,-122.44400024
Portola Dr & Clipper St,Market St & Clayton St,37.74720001,-122.44400024,37.75839996,-122.44400024
Market St & Clayton St,Market St & Castro St,37.75839996,-122.44400024,37.76290131,-122.43499756
Market St & 1st St,Market St & Beale St,37.79050064,-122.40000153,37.79259872,-122.39700317
Market St & Beale St,Steuart St & Mission St,37.79259872,-122.39700317,37.79430008,-122.39399719
Steuart St & Mission St,Market St & Drumm St,37.79430008,-122.39399719,37.79349899,-122.39600372
Market St & Castro St,Market St & Clayton St,37.76290131,-122.43499756,37.75839996,-122.44400024
Market St & Clayton St,Portola Dr & Burnett Ave,37.75839996,-122.44400024,37.74700165,-122.44499969
Portola Dr & Burnett Ave,Woodside Ave & Portola Dr,37.74700165,-122.44499969,37.74580002,-122.45200348
Woodside Ave & Portola Dr,Ulloa St & Claremont Blvd,37.74580002,-122.45200348,37.74079895,-122.46499634
Ulloa St & Claremont Blvd,West Portal Ave & 14th Ave,37.74079895,-122.46499634,37.73789978,-122.46900177
West Portal Ave & 14th Ave,Junipero Serra Blvd & Sloat Blvd,37.73789978,-122.46900177,37.73429871,-122.47200012
Junipero Serra Blvd & Sloat Blvd,Ocean Ave & Junipero Serra Blvd,37.73429871,-122.47200012,37.73099899,-122.47200012
Ocean Ave & Junipero Serra Blvd,Ocean Ave & San Leandro Way,37.73099899,-122.47200012,37.72999954,-122.46900177
Ocean Ave & Lee St,Ocean Ave & Geneva Ave,37.72349930,-122.45400238,37.72309875,-122.45200348
Ocean Ave & Geneva Ave,San Jose Ave & Geneva Ave,37.72309875,-122.45200348,37.72119904,-122.44599915
46th Ave & Wawona St,46th Ave & Vicente St,37.73609924,-122.50399780,37.73809814,-122.50399780
46th Ave & Vicente St,46th Ave & Ulloa St,37.73809814,-122.50399780,37.74000168,-122.50499725
46th Ave & Ulloa St,46th Ave & Taraval St,37.74000168,-122.50499725,37.74190140,-122.50499725
46th Ave & Taraval St,Taraval St & 44th Ave,37.74190140,-122.50499725,37.74190140,-122.50199890
Taraval St & 44th Ave,Taraval St & 42nd Ave,37.74190140,-122.50199890,37.74200058,-122.50000000
Taraval St & 42nd Ave,Taraval St & 40th Ave,37.74200058,-122.50000000,37.74209976,-122.49800110
Taraval St & 40th Ave,Taraval St & Sunset Blvd,37.74209976,-122.49800110,37.74229813,-122.49400330
Taraval St & Sunset Blvd,Taraval St & 32nd Ave,37.74229813,-122.49400330,37.74250031,-122.48899841
Taraval St & 32nd Ave,Taraval St & 30th Ave,37.74250031,-122.48899841,37.74259949,-122.48699951
Taraval St & 30th Ave,Taraval St & 26th Ave,37.74259949,-122.48699951,37.74280167,-122.48300171
Taraval St & 26th Ave,Taraval St & 22nd Ave,37.74280167,-122.48300171,37.74290085,-122.47799683
Taraval St & 22nd Ave,Taraval St & 19th Ave,37.74290085,-122.47799683,37.74309921,-122.47499847
Taraval St & 19th Ave,Taraval St & 17th Ave,37.74309921,-122.47499847,37.74309921,-122.47399902
Taraval St & 17th Ave,15th Ave & Taraval St,37.74309921,-122.47399902,37.74309921,-122.47100067
15th Ave & Taraval St,Ulloa St & Forest Side Ave,37.74309921,-122.47100067,37.74150085,-122.46800232
Ulloa St & Forest Side Ave,Ulloa St & West Portal Ave,37.74150085,-122.46800232,37.74100113,-122.46600342
Ulloa St & West Portal Ave,Woodside Ave & Balceta Ave,37.74100113,-122.46600342,37.74649811,-122.45600128
Woodside Ave & Balceta Ave,Woodside Ave & Hernandez Ave,37.74649811,-122.45600128,37.74639893,-122.45500183
Woodside Ave & Hernandez Ave,Woodside Ave & Ulloa St,37.74639893,-122.45500183,37.74580002,-122.45400238
Woodside Ave & Ulloa St,Woodside Ave & Portola Dr,37.74580002,-122.45400238,37.74580002,-122.45200348
Woodside Ave & Portola Dr,Portola Dr & Glenview Dr,37.74580002,-122.45200348,37.74649811,-122.44799805
Portola Dr & Glenview Dr,Portola Dr & Clipper St,37.74649811,-122.44799805,37.74720001,-122.44400024
Steuart St & Don Chee Way,Steuart St & Market St,37.79380035,-122.39399719,37.79439926,-122.39499664
Market St & Castro St,6 Portola Dr,37.76290131,-122.43499756,37.75000000,-122.44300079
6 Portola Dr,120 Portola Dr,37.75000000,-122.44300079,37.74900055,-122.44400024
120 Portola Dr,Portola Dr & Burnett Ave,37.74900055,-122.44400024,37.74700165,-122.44499969
Portola Dr & Burnett Ave,Portola Dr & Glenview Dr,37.74700165,-122.44499969,37.74649811,-122.44799805
Portola Dr & Glenview Dr,Woodside Ave & Portola Dr,37.74649811,-122.44799805,37.74580002,-122.45200348
Woodside Ave & Portola Dr,Woodside Ave & Ulloa St,37.74580002,-122.45200348,37.74580002,-122.45400238
Woodside Ave & Ulloa St,Woodside Ave & Hernandez Ave,37.74580002,-122.45400238,37.74639893,-122.45500183
Woodside Ave & Hernandez Ave,Ulloa St & Lenox Way,37.74639893,-122.45500183,37.74110031,-122.46600342
Ulloa St & Lenox Way,Ulloa St & Forest Side Ave,37.74110031,-122.46600342,37.74150085,-122.46800232
Ulloa St & Forest Side Ave,15th Ave & Taraval St,37.74150085,-122.46800232,37.74309921,-122.47100067
15th Ave & Taraval St,Taraval St & 19th Ave,37.74309921,-122.47100067,37.74309921,-122.47499847
Taraval St & 19th Ave,Taraval St & 23rd Ave,37.74309921,-122.47499847,37.74290085,-122.48000336
Taraval St & 23rd Ave,Taraval St & 26th Ave,37.74290085,-122.48000336,37.74280167,-122.48300171
Taraval St & 26th Ave,Taraval St & 30th Ave,37.74280167,-122.48300171,37.74259949,-122.48699951
Taraval St & 30th Ave,Taraval St & 32nd Ave,37.74259949,-122.48699951,37.74250031,-122.48899841
Taraval St & 32nd Ave,Taraval St & Sunset Blvd,37.74250031,-122.48899841,37.74229813,-122.49400330
Taraval St & Sunset Blvd,Taraval St & 40th Ave,37.74229813,-122.49400330,37.74209976,-122.49800110
Taraval St & 40th Ave,Taraval St & 42nd Ave,37.74209976,-122.49800110,37.74200058,-122.50000000
Taraval St & 42nd Ave,Taraval St & 44th Ave,37.74200058,-122.50000000,37.74190140,-122.50199890
Taraval St & 44th Ave,Taraval St & 46th Ave,37.74190140,-122.50199890,37.74179840,-122.50399780
Taraval St & 46th Ave,46th Ave & Ulloa St,37.74179840,-122.50399780,37.74000168,-122.50499725
46th Ave & Ulloa St,46th Ave & Vicente St,37.74000168,-122.50499725,37.73809814,-122.50399780
46th Ave & Vicente St,Vicente St & 47th Ave,37.73809814,-122.50399780,37.73809814,-122.50499725
Vicente St & 47th Ave,46th Ave & Wawona St,37.73809814,-122.50499725,37.73609924,-122.50399780
Taraval St & 17th Ave,Taraval St & 15th Ave,37.74309921,-122.47399902,37.74319839,-122.47100067
Taraval St & 15th Ave,Ulloa St & Forest Side Ave,37.74319839,-122.47100067,37.74150085,-122.46800232
Ulloa St & West Portal Ave,Ulloa St & Claremont Blvd,37.74100113,-122.46600342,37.74079895,-122.46499634
Ulloa St & Claremont Blvd,Portola Dr & O Shaughnessy Blvd,37.74079895,-122.46499634,37.74530029,-122.45200348
Spear St & Market St,Steuart St & Mission St,37.79339981,-122.39499664,37.79430008,-122.39399719
Steuart St & Mission St,Steuart St & Market St,37.79430008,-122.39399719,37.79439926,-122.39499664
Woodside Ave & Portola Dr,Ulloa St & Lenox Way,37.74580002,-122.45200348,37.74110031,-122.46600342
San Jose Ave & Geneva Ave,San Jose Ave & Mt Vernon Ave,37.72119904,-122.44599915,37.71849823,-122.44899750
San Jose Ave & Mt Vernon Ave,San Jose Ave & Lakeview Ave,37.71849823,-122.44899750,37.71630096,-122.44999695
San Jose Ave & Lakeview Ave,San Jose Ave & Farallones St,37.71630096,-122.44999695,37.71419907,-122.45200348
San Jose Ave & Farallones St,Broad St & Plymouth Ave,37.71419907,-122.45200348,37.71319962,-122.45600128
Broad St & Plymouth Ave,Broad St & Capitol Ave,37.71319962,-122.45600128,37.71319962,-122.45899963
Broad St & Capitol Ave,Broad St & Orizaba Ave,37.71319962,-122.45899963,37.71319962,-122.46199799
Broad St & Orizaba Ave,Randolph St & Bright St,37.71319962,-122.46199799,37.71429825,-122.46299744
Randolph St & Bright St,Randolph St & Arch St,37.71429825,-122.46299744,37.71429825,-122.46700287
Randolph St & Arch St,19th Ave & Randolph St,37.71429825,-122.46700287,37.71620178,-122.47200012
19th Ave & Randolph St,19th Ave & Junipero Serra Blvd,37.71620178,-122.47200012,37.71689987,-122.47200012
19th Ave & Junipero Serra Blvd,19th Ave & Holloway Ave,37.71689987,-122.47200012,37.72109985,-122.47499847
19th Ave & Holloway Ave,19th Ave & Winston Dr,37.72109985,-122.47499847,37.72719955,-122.47499847
