RouteName, Coords
Walking Distance, "MULTILINESTRING ((-122.472 37.7146, -122.471 37.7107))"
Walking Distance, "MULTILINESTRING ((-122.472 37.7146, -122.471 37.7136))"
Walking Distance, "MULTILINESTRING ((-122.472 37.7146, -122.472 37.7162))"
Walking Distance, "MULTILINESTRING ((-122.472 37.7146, -122.473 37.713))"
Walking Distance, "MULTILINESTRING ((-122.472 37.7314, -122.471 37.735))"
Walking Distance, "MULTILINESTRING ((-122.472 37.7314, -122.469 37.73))"
Walking Distance, "MULTILINESTRING ((-122.472 37.7314, -122.475 37.7312))"
Walking Distance, "MULTILINESTRING ((-122.472 37.7314, -122.472 37.731))"
Walking Distance, "MULTILINESTRING ((-122.472 37.7314, -122.474 37.7319))"
Walking Distance, "MULTILINESTRING ((-122.472 37.7314, -122.474 37.732))"
Walking Distance, "MULTILINESTRING ((-122.471 37.7109, -122.471 37.7136))"
Walking Distance, "MULTILINESTRING ((-122.471 37.7109, -122.471 37.7107))"
Walking Distance, "MULTILINESTRING ((-122.471 37.7109, -122.469 37.7104))"
Walking Distance, "MULTILINESTRING ((-122.471 37.7109, -122.469 37.7103))"
Walking Distance, "MULTILINESTRING ((-122.472 37.7343, -122.472 37.731))"
Walking Distance, "MULTILINESTRING ((-122.472 37.7343, -122.474 37.7319))"
Walking Distance, "MULTILINESTRING ((-122.472 37.7343, -122.472 37.7314))"
Walking Distance, "MULTILINESTRING ((-122.472 37.7343, -122.472 37.7348))"
Walking Distance, "MULTILINESTRING ((-122.472 37.7343, -122.472 37.7348))"
Walking Distance, "MULTILINESTRING ((-122.472 37.7343, -122.47 37.7349))"
Walking Distance, "MULTILINESTRING ((-122.441 37.7917, -122.441 37.79))"
Walking Distance, "MULTILINESTRING ((-122.441 37.7917, -122.441 37.7915))"
Walking Distance, "MULTILINESTRING ((-122.441 37.7917, -122.439 37.7919))"
Walking Distance, "MULTILINESTRING ((-122.441 37.7917, -122.44 37.7882))"
Walking Distance, "MULTILINESTRING ((-122.435 37.7925, -122.436 37.7924))"
Walking Distance, "MULTILINESTRING ((-122.435 37.7925, -122.433 37.7927))"
Walking Distance, "MULTILINESTRING ((-122.435 37.7925, -122.435 37.7942))"
Walking Distance, "MULTILINESTRING ((-122.435 37.7925, -122.433 37.7917))"
Walking Distance, "MULTILINESTRING ((-122.418 37.7946, -122.418 37.7954))"
Walking Distance, "MULTILINESTRING ((-122.418 37.7946, -122.421 37.7942))"
Walking Distance, "MULTILINESTRING ((-122.418 37.7946, -122.418 37.7945))"
Walking Distance, "MULTILINESTRING ((-122.418 37.7946, -122.416 37.7949))"
Walking Distance, "MULTILINESTRING ((-122.418 37.7946, -122.418 37.7929))"
Walking Distance, "MULTILINESTRING ((-122.415 37.795, -122.416 37.7949))"
Walking Distance, "MULTILINESTRING ((-122.415 37.795, -122.415 37.794))"
Walking Distance, "MULTILINESTRING ((-122.415 37.795, -122.413 37.7953))"
Walking Distance, "MULTILINESTRING ((-122.415 37.795, -122.416 37.7938))"
Walking Distance, "MULTILINESTRING ((-122.416 37.7949, -122.418 37.7946))"
Walking Distance, "MULTILINESTRING ((-122.416 37.7949, -122.415 37.795))"
Walking Distance, "MULTILINESTRING ((-122.416 37.7949, -122.418 37.7945))"
Walking Distance, "MULTILINESTRING ((-122.416 37.7949, -122.418 37.7954))"
Walking Distance, "MULTILINESTRING ((-122.412 37.7954, -122.413 37.7953))"
Walking Distance, "MULTILINESTRING ((-122.412 37.7954, -122.412 37.7955))"
Walking Distance, "MULTILINESTRING ((-122.412 37.7954, -122.412 37.7962))"
Walking Distance, "MULTILINESTRING ((-122.412 37.7954, -122.412 37.7972))"
Walking Distance, "MULTILINESTRING ((-122.421 37.7942, -122.423 37.794))"
Walking Distance, "MULTILINESTRING ((-122.421 37.7942, -122.421 37.7935))"
Walking Distance, "MULTILINESTRING ((-122.421 37.7942, -122.42 37.7934))"
Walking Distance, "MULTILINESTRING ((-122.421 37.7942, -122.423 37.7948))"
Walking Distance, "MULTILINESTRING ((-122.439 37.7919, -122.436 37.7924))"
Walking Distance, "MULTILINESTRING ((-122.439 37.7919, -122.441 37.7917))"
Walking Distance, "MULTILINESTRING ((-122.439 37.7919, -122.441 37.7915))"
Walking Distance, "MULTILINESTRING ((-122.439 37.7919, -122.441 37.79))"
Walking Distance, "MULTILINESTRING ((-122.439 37.7919, -122.436 37.7941))"
Walking Distance, "MULTILINESTRING ((-122.436 37.7924, -122.435 37.7928))"
Walking Distance, "MULTILINESTRING ((-122.436 37.7924, -122.439 37.7919))"
Walking Distance, "MULTILINESTRING ((-122.436 37.7924, -122.435 37.7925))"
Walking Distance, "MULTILINESTRING ((-122.436 37.7924, -122.436 37.7941))"
Walking Distance, "MULTILINESTRING ((-122.436 37.7924, -122.435 37.7942))"
Walking Distance, "MULTILINESTRING ((-122.413 37.7953, -122.415 37.795))"
Walking Distance, "MULTILINESTRING ((-122.413 37.7953, -122.412 37.7954))"
Walking Distance, "MULTILINESTRING ((-122.413 37.7953, -122.412 37.7955))"
