id, name, lat, long
312,Plymouth Ave & Thrift St,37.7176,-122.456
313,Plymouth Ave & Yerba Buena Ave,37.7326,-122.459
314,Panorama Dr & Dellbrook Ave,37.7535,-122.453
315,Panorama Dr & Starview Way,37.7493,-122.452
316,Polk St & Broadway,37.7962,-122.422
317,Polk St & Francisco St,37.8037,-122.423
318,Polk St & Lombard St,37.8017,-122.423
319,Polk St & North Point St,37.805,-122.424
320,Polk St & O'Farrell St,37.7851,-122.42
321,Polk St & Pine St,37.7898,-122.42
322,Polk St & Post St,37.787,-122.42
323,Polk St & Sacramento St,37.7917,-122.421
324,Polk St & Sutter St,37.7877,-122.42
325,Polk St & Union St,37.799,-122.422
326,Polk St & Washington St,37.7935,-122.421
327,6 Portola Dr,37.75,-122.443
328,120 Portola Dr,37.749,-122.444
329,Portola Dr & Burnett Ave,37.747,-122.445
330,Portola Dr & Clarendon Ave,37.7397,-122.465
331,Portola Dr & Clipper St,37.7472,-122.444
332,Portola Dr & Del Sur Ave,37.742,-122.456
333,Portola Dr & Dorchester Way,37.7401,-122.463
334,Portola Dr & Glenview Dr,37.7465,-122.448
335,Post St & Larkin St,37.787,-122.418
336,Post St & Leavenworth St,37.7874,-122.415
337,Post St & Laguna St,37.7858,-122.428
338,Post St & Montgomery St,37.789,-122.402
339,Post St & Octavia St,37.7859,-122.427
340,Post St & Polk St,37.7868,-122.42
341,Post St & Powell St,37.7883,-122.408
342,Post St & Taylor St,37.7879,-122.411
343,Post St & Van Ness Ave,37.7866,-122.421
344,Potrero Ave & 16th St,37.766,-122.407
345,Potrero Ave & 21st St,37.7575,-122.407
346,Potrero Ave & 23rd St,37.7551,-122.407
347,Potrero Ave & 24th St,37.7534,-122.406
348,Potrero Ave & 25th St,37.7516,-122.406
349,Potrero Ave & Alameda St,37.7683,-122.408
350,Powell St & Bay St,37.8057,-122.412
351,Powell St & Beach St,37.808,-122.413
352,Powell St & Bush St,37.7902,-122.409
353,Powell St & California St,37.7923,-122.409
354,Powell St & Clay St,37.7938,-122.409
355,Quintara St & 27th Ave,37.7482,-122.485
356,Quintara St & 28th Ave,37.7483,-122.486
357,Quintara St & 29th Ave,37.7482,-122.487
358,Quintara St & 31st Ave,37.7481,-122.489
359,Quintara St & 33rd Ave,37.7481,-122.491
360,Quintara St & 35th Ave,37.748,-122.493
361,Quintara St & 36th Ave,37.7478,-122.494
362,Quintara St & 39th Ave,37.7476,-122.498
363,Quintara St & 41st Ave,37.7477,-122.5
364,Quintara St & 44th Ave,37.7474,-122.503
365,Quintara St & 46th Ave,37.7474,-122.505
366,Quintara St & 48th Ave,37.7473,-122.507
367,Quintara St & Cragmont Ave,37.7491,-122.468
368,Quintara St & Funston Ave,37.749,-122.469
369,Randolph St & Arch St,37.7143,-122.467
370,Randolph St & Bright St,37.7143,-122.463
371,Randall St & Whitney St,37.7397,-122.428
372,Richardson Ave & Francisco St,37.8004,-122.447
373,Reddy St & Thornton Ave,37.731,-122.395
374,Reddy St & Williams Ave,37.7298,-122.395
375,176 Rhode Island St,37.7562,-122.402
376,Rhode Island St & 15th St,37.7675,-122.403
377,Rhode Island St & 16th St,37.7664,-122.403
378,Rhode Island St & 17th St,37.7649,-122.403
379,Rhode Island St & 18th St,37.762,-122.402
380,Rhode Island St & 19th St,37.7609,-122.402
381,Rhode Island St & 20th St,37.7594,-122.402
382,Rhode Island St & 22nd St,37.7569,-122.402
383,Rhode Island St & 23rd St,37.7543,-122.402
384,Rhode Island St & 24th St,37.7535,-122.402
385,Rhode Island St & 25th St,37.7521,-122.401
386,Rhode Island St & 26th St,37.7507,-122.401
387,Rhode Island St & Alameda St,37.7688,-122.403
388,Rhode Island St & Mariposa St,37.7633,-122.403
389,Rhode Island St & Southern Heights Ave,37.7585,-122.402
390,Ripley St & Alabama St,37.7444,-122.41
391,Ripley St & Folsom St,37.7442,-122.413
392,Rousseau St & Cayuga Ave,37.7314,-122.43
393,Right Of Way/18th St,37.7612,-122.428
394,Right Of Way/20th St,37.7583,-122.428
395,Right Of Way/21st St,37.7566,-122.427
396,Church St & 22nd St,37.7546,-122.428
397,Right Of Way/Eucalyptus Dr,37.7312,-122.474
398,Right Of Way/Liberty St,37.7575,-122.427
399,Right Of Way/Ocean Ave,37.732,-122.474
400,Reposa Way & Myra Way,37.7402,-122.451
401,Reposa Way & Teresita Blvd,37.7408,-122.449
402,414 Roosevelt Way,37.7645,-122.443
403,415 Roosevelt Way,37.7645,-122.443
404,Roosevelt Way & 14th St,37.7672,-122.437
405,Roosevelt Way & 15th St,37.7665,-122.44
406,Roosevelt Way & 17th St,37.762,-122.445
407,Roosevelt Way & Clifford Ter,37.7637,-122.443
408,Roosevelt Way & Lower Ter,37.7634,-122.444
409,Roosevelt Way & Museum Way,37.7654,-122.441
410,Russia Ave & Moscow St,37.7181,-122.43
411,Rutland St & Leland Ave,37.7125,-122.407
412,Sansome St & Washington St,37.796,-122.402
413,Santos St & Brookdale Ave,37.712,-122.419
414,19th Ave & Holloway St,37.7212,-122.475
415,Dublin St & La Grande Ave,37.7192,-122.426
416,3rd St & Carroll Ave,37.7257,-122.394
417,3rd St & Evans Ave,37.7424,-122.388
418,3rd St & Folsom St,37.7842,-122.399
419,3rd St & Hudson Ave,37.7401,-122.389
420,3rd St & Innes Ave,37.7393,-122.389
421,3rd St & La Salle Ave,37.7372,-122.39
422,3rd St & Kirkwood Ave,37.7379,-122.39
423,3rd St & Stevenson St,37.7864,-122.402
424,3rd St & Palou Ave,37.7341,-122.391
425,3rd St & Oakdale Ave,37.7348,-122.391
426,3rd St & Bryant St,37.7817,-122.396
427,3rd St & Revere Ave,37.7323,-122.391
428,3rd St & Salinas Ave,37.7209,-122.396
429,3rd St & Van Dyke Ave,37.7292,-122.393
430,3rd St & Williams Ave,37.7292,-122.393
431,4th St & 3rd St,37.773,-122.39
432,4th St & Brannan St,37.7783,-122.397
433,4th St & Folsom St,37.7821,-122.401
434,4th St & Mission St,37.7843,-122.404
435,4th St & Market St,37.7855,-122.406
436,4th St & Townsend St,37.7769,-122.395
437,5th St & Folsom St,37.7803,-122.404
438,5th St & Mission St,37.7826,-122.406
439,6th Ave & Balboa St,37.7771,-122.464
440,6th Ave & Clement St,37.7831,-122.464
441,6th Ave & Fulton St,37.7738,-122.464
442,6th Ave & Geary St,37.7809,-122.464
443,1697 7th Ave,37.7566,-122.464
444,7th St & Brannan St,37.7733,-122.403
445,7th St & Folsom St,37.7769,-122.408
446,7th St & Harrison St,37.7757,-122.406
447,7th St & Howard St,37.7779,-122.409
448,7th St & Mission St,37.7793,-122.411
449,7th St & Market St,37.7803,-122.412
450,8th Ave & Fulton St,37.7736,-122.466
451,8th St & Brannan St,37.7712,-122.405
452,8th St & Bryant St,37.7724,-122.407
453,8th St & Folsom St,37.7748,-122.41
454,8th St & Harrison St,37.7735,-122.408
455,8th St & Mission St,37.7772,-122.413
456,8th St & Market St,37.7785,-122.415
457,9th Ave & Irving St,37.7643,-122.466
458,9th Ave & Judah St,37.7621,-122.466
459,9th Ave & Kirkham St,37.7604,-122.466
460,9th Ave & Lawton St,37.7585,-122.466
461,18th St & Church St,37.7614,-122.428
462,18th St & Castro St,37.761,-122.435
463,18th St & Danvers St,37.7604,-122.444
464,18th St & Diamond St,37.7607,-122.437
465,18th St & Dolores St,37.7615,-122.426
466,18th St & Eureka St,37.7608,-122.438
467,18th St & Guerrero St,37.7616,-122.424
468,18th St & Hattie St,37.7606,-122.441
469,18th St & Mission St,37.7619,-122.42
470,18th St & Market St,37.7598,-122.444
471,18th St & Noe St,37.7611,-122.433
472,18th St & Sanchez St,37.7612,-122.43
473,18th St & Valencia St,37.7618,-122.422
474,19th Ave & Buckingham Way,37.7259,-122.475
475,19th Ave & Eucalyptus Dr,37.7308,-122.475
476,19th Ave & Holloway Ave,37.7211,-122.475
477,19th Ave & Irving St,37.7637,-122.477
478,19th Ave & Junipero Serra Blvd,37.7169,-122.472
479,19th Ave & Judah St,37.7618,-122.477
480,19th Ave & Lawton St,37.7581,-122.477
481,19th Ave & Lincoln Way,37.7654,-122.477
482,19th Ave & Noriega St,37.7543,-122.476
483,19th Ave & Randolph St,37.7162,-122.472
484,19th Ave & Ortega St,37.7527,-122.476
485,19th Ave & Quintara St,37.7485,-122.476
486,19th Ave & Rivera St,37.7472,-122.476
487,19th Ave & Sloat Blvd,37.7346,-122.475
488,19th Ave & Taraval St,37.7433,-122.476
489,19th Ave & Vicente St,37.7395,-122.475
490,19th Ave & Winston Dr,37.7272,-122.475
491,20th Ave & Buckingham Way,37.7304,-122.476
492,20th Ave/Macy's Stonestown,37.7289,-122.476
493,20th Ave & Winston Dr,37.7269,-122.476
494,20th St & 3rd St,37.7605,-122.389
495,20th St & Collingwood St,37.7577,-122.436
496,20th St & Eureka St,37.7576,-122.438
497,30th Ave & Quintara St,37.748,-122.488
498,30th Ave & Rivera St,37.7464,-122.488
499,30th Ave & Santiago St,37.7445,-122.488
500,30th Ave & Taraval St,37.7426,-122.488
501,30th Ave & Ulloa St,37.7408,-122.487
502,30th St & Church St,37.7422,-122.426
503,30th St & Dolores St,37.7423,-122.424
504,30th St & Mission St,37.7424,-122.422
505,30th St & Noe St,37.7419,-122.431
506,30th St & Sanchez St,37.742,-122.429
507,32nd Ave & Balboa St,37.7767,-122.492
508,32nd Ave & California St,37.7834,-122.492
509,32nd Ave & Clement St,37.782,-122.492
510,32nd Ave & Geary St,37.7799,-122.492
511,33rd Ave & Anza St,37.7779,-122.493
512,33rd Ave & Balboa St,37.776,-122.493
513,33rd Ave & Clement St,37.7815,-122.493
514,33rd Ave & Geary St,37.7798,-122.493
515,36th Ave & Lincoln Way,37.7646,-122.495
516,37th Ave & Lincoln Way,37.7644,-122.497
517,39th Ave & Quintara St,37.7476,-122.497
518,39th Ave & Rivera St,37.746,-122.497
519,42nd Ave & Clement St,37.7811,-122.503
520,43rd Ave & Clement St,37.781,-122.504
521,43rd Ave & Point Lobos Ave,37.7798,-122.504
522,45th Ave & Balboa St,37.7752,-122.506
