to,from,CoordsFromLat,CoordsFromLong,CoordsToLat,CoordsToLong
Ocean Ave & Junipero Serra Blvd,Ocean Ave & San Leandro Way,37.73095322,-122.47168732,37.72998810,-122.46909332
Ocean Ave & Lee St,Ocean Ave & Geneva Ave,37.72345734,-122.45400238,37.72312164,-122.45213318
Ocean Ave & Geneva Ave,San Jose Ave & Geneva Ave,37.72312164,-122.45213318,37.72123718,-122.44622040
46th Ave & Wawona St,46th Ave & Vicente St,37.73610687,-122.50414276,37.73814011,-122.50444031
46th Ave & Vicente St,46th Ave & Ulloa St,37.73814011,-122.50444031,37.73999786,-122.50457764
46th Ave & Ulloa St,46th Ave & Taraval St,37.73999786,-122.50457764,37.74185562,-122.50470734
46th Ave & Taraval St,Taraval St & 44th Ave,37.74185562,-122.50470734,37.74192429,-122.50234222
Taraval St & 44th Ave,Taraval St & 42nd Ave,37.74192429,-122.50234222,37.74201965,-122.50019836
Taraval St & 42nd Ave,Taraval St & 40th Ave,37.74201965,-122.50019836,37.74212265,-122.49805450
Taraval St & 40th Ave,Taraval St & Sunset Blvd,37.74212265,-122.49805450,37.74228668,-122.49436188
Taraval St & Sunset Blvd,Taraval St & 32nd Ave,37.74228668,-122.49436188,37.74248886,-122.48948669
Taraval St & 32nd Ave,Taraval St & 30th Ave,37.74248886,-122.48948669,37.74259186,-122.48733521
Taraval St & 30th Ave,Taraval St & 26th Ave,37.74259186,-122.48733521,37.74277878,-122.48307037
Taraval St & 26th Ave,Taraval St & 22nd Ave,37.74277878,-122.48307037,37.74288940,-122.47842407
Taraval St & 22nd Ave,Taraval St & 19th Ave,37.74288940,-122.47842407,37.74311066,-122.47544098
Taraval St & 19th Ave,Taraval St & 17th Ave,37.74311066,-122.47544098,37.74306870,-122.47366333
Taraval St & 17th Ave,15th Ave & Taraval St,37.74306870,-122.47366333,37.74312210,-122.47129822
15th Ave & Taraval St,Ulloa St & Forest Side Ave,37.74312210,-122.47129822,37.74153519,-122.46846771
Ulloa St & Forest Side Ave,Ulloa St & West Portal Ave,37.74153519,-122.46846771,37.74100876,-122.46616364
Ulloa St & West Portal Ave,Woodside Ave & Balceta Ave,37.74100876,-122.46616364,37.74649048,-122.45644379
